INDICE,LONG,LAT,NOMBRE,POTENCIA
0,-61.98278194444445,-29.576126777777777,Afisa,132
1,-62.66097533333333,-30.88114311111111,ET. Arroyito,132
2,-63.050938111111115,-30.27137891666667,ET. Carlos Paz,132
3,-63.1866415,-31.830317555555553,ET. Elena,132
4,-63.169600555555554,-30.64389197222222,ET. Falda del Cañete,132
5,-62.77966461111111,-31.152668277777778,ET. General Cabrera,132
6,-62.69492491666667,-31.18654613888889,ET. General Deheza,132
7,-62.6947545,-33.847226166666665,Central General Levalle,132
8,-61.28811666666667,-32.45754752777778,ET. Isla Verde,132
9,-63.84726663888889,-29.101918222222224,ET. Jesus Maria,132
10,-61.322205361111116,-31.1695615,ET. JUSTINIANO POSSE,132
11,-63.44075988888889,-30.05086661111111,ET. La Falda,132
12,-64.81348802777778,-30.71187394444444,Central La Viña,132
13,-61.25430622222222,-30.118652416666666,ET. Las Varillas,132
14,-61.72887358333333,-31.98298313888889,ET. Leones,132
15,-63.30513194444445,-30.711884888888886,ET. Los Molinos,132
16,-63.72878663888889,-30.118653805555557,ET. Mendiolaza,132
17,-61.67792222222222,-29.983050000000002,ET. Morteros,132
18,-62.034142055555556,-30.965891555555555,ET. Pilar,132
19,-62.13571430555555,-30.101690333333334,Central Bicentenario,132
20,-62.627124555555554,-32.25441627777778,ET. PROMAIZ,132
21,-63.61014605555555,-31.711823499999998,ET. Reolin,132
22,-63.254368388888885,-30.05110833333333,ET. San Antonio,132
23,-62.10183761111111,-31.94893036111111,ET. Tancacha,132
24,-63.77957911111111,-29.93201436111111,ET. Villa del Totoral,132
25,-64.13573572222222,-30.745812694444446,ET. Villa Dolores,132
26,-62.44069427777778,-31.118641944444445,Central Villa Maria,132
27,-63.03393575,-32.355918305555555,ET. Maranzana II,132
28,-64.88137261111112,-32.28831583333333,E.T. Achiras,132
29,-63.57630116666667,-30.084941805555555,ET. Alta Gracia,66
30,-63.20335625,-32.96590852777778,ET. Adelia Maria,66
31,-62.23742138888889,-32.525305527777775,E.T. ALEJANDRO ROCA,66
32,-61.01710961111111,-32.271218777777776,ET. Alejo Ledesma,66
33,-62.52553172222222,-31.135575499999998,E.T. Arroyo Algodon,66
34,-61.237253611111115,-32.00008427777777,ET. Arias,66
35,-62.66097533333333,-30.88114311111111,ET. Arroyito,66
36,-62.28805875,-31.491636944444444,ET. Ausonia,66
37,-61.762551333333334,-30.28822102777778,ET. Balnearia,66
38,-61.81338075,-31.37280911111111,ET. BellVille,66
39,-62.44082236111112,-33.50859638888889,ET. Buchardo,66
40,-63.37290286111111,-30.16961897222222,ET. Bower,66
41,-61.05093411111111,-29.27125277777778,ET. Brinkman,66
42,-63.27113955555556,-33.61024688888889,ET. Bruzzone,66
43,-61.11869333333333,-32.06782666666667,ET. Canals,66
44,-63.83031122222222,-29.118829777777776,ET. Capilla del Monte,66
45,-63.54249194444444,-31.457614305555555,ET. Cassaffouth,66
46,-62.71188875,-32.96602988888889,ET. Chazon,66
47,-63.47458388888889,-29.20340772222222,ET. Chuña,66
48,-63.69475291666667,-32.16967636111111,ET. Coronel Moldes,66
49,-63.525279777777776,-30.50837125,ET. Cosquin,66
50,-63.949166250000005,-29.25441186111111,ET. Cruz del Eje,66
51,-64.45751858333334,-30.372984055555555,ET. Cura Brochero,66
52,-63.81339919444445,-29.999989833333334,ET. Dean Funes,66
53,-61.593203583333334,-30.203595027777776,ET. Devoto,66
54,-61.91504094444444,-30.932167555555555,ET. El Tio,66
55,-62.034129888888884,-31.423739083333334,ET. Etruria,66
56,-63.762531555555555,-31.288157194444445,ET. Fitz Simons,66
57,-61.15255005555555,-30.508594805555553,ET. Freyre,66
58,-63.338944222222224,-30.322145833333334,ET. GraL. Paz,66
59,-61.034049305555556,-32.37304897222222,ET. Guatimozin,66
60,-63.66107894444444,-33.847313666666665,ET. Huinca Renanco,66
61,-61.64404894444444,-31.42383736111111,ET. Inriville,66
62,-62.389946055555555,-31.152660694444446,E.T. JAMES CRAIK,66
63,-62.54248963888889,-33.406884194444444,ET. Jovita,66
64,-63.98294955555556,-30.813504305555554,ET. La Calera,66
65,-62.745778055555554,-32.66083647222222,ET. La Carlota,66
66,-63.30521961111111,-29.83032075,ET. La Cumbre,66
67,-61.91503072222222,-30.373049138888888,ET. La Francia,66
68,-62.33907694444444,-31.99999013888889,ET. La Laguna,66
69,-62.525394722222224,-29.627109916666665,La Puerta,66
70,-62.89832777777777,-33.898263888888884,ET. Laboulaye,66
71,-61.25430622222222,-30.118652416666666,ET. Las Varillas,66
72,-63.660905388888885,-32.271366388888886,ET. Las Vertientes,66
73,-61.72887358333333,-31.98298313888889,ET. Leones,66
74,-64.91502280555557,-30.271347583333334,ET. Los Pozos,66
75,-62.16963825,-30.55924163888889,ET. Luque,66
76,-61.16962872222222,-31.677858222222223,ET. Marcos Juarez,66
77,-60.4744805,-29.79652725,ET. Morteros,66
78,-61.69472888888889,-31.745796583333334,ET. Noetinger,66
79,-62.03397119444444,-31.38988558333333,ET. Oliva,66
80,-62.98281908333333,-30.847408444444447,ET. Oncativo,66
81,-61.08472286111111,-30.69488147222222,ET. Porteña,66
82,-61.152665388888884,-31.034117305555558,ET. Pozo del Molle,66
83,-62.101908333333334,-32.18663333333333,ET. Pueblo Italiano,66
84,-63.44081813888889,-29.169497055555556,ET. Quilino,66
85,-63.49142994444444,-29.677867305555555,ET. Quilpo,66
86,-63.88136186111111,-30.52548861111111,ET. Rio Ceballos,66
87,-62.28815322222222,-30.220309222222223,E.T RIO PRIMERO,66
88,-62.152775999999996,-30.440761416666668,ET. Rio Segundo,66
89,-63.42385847222222,-31.423744805555557,ET. Rio Tercero,66
90,-62.30519752777778,-30.627127388888887,ET. Santa Rosa de Rio Primero,66
91,-63.15255005555555,-32.44058044444445,ET. Sampacho,66
92,-63.10192705555556,-32.03392241666666,ET. San Basilio,66
93,-63.11885961111111,-31.338954611111113,ET. San Ignacio,66
94,-62.016959138888886,-29.33909291666667,ET. San Jose de la Dormida,66
95,-61.796546694444444,-31.169515611111112,ET. San Marcos Sud,66
96,-63.38992688888889,-30.779647166666667,ET. San Roque (Casabamba),66
97,-62.37278119444444,-29.440719833333333,ET. Santa Elena,66
98,-62.72870388888889,-30.491638277777778,ET. Santiago Temple,66
99,-62.25420163888889,-33.559209888888894,ET. Serrano,66
100,-63.83040858333334,-30.898154055555555,ET. San Agustin,66
101,-63.72866111111111,-32.64391111111111,ET. Santa Catalina,66
102,-63.47459241666667,-31.474564083333334,ET. Sta Rosa de Calamuchita,66
103,-62.45759313888889,-31.118871666666667,ET. Tio Pujio,66
104,-62.37298233333333,-28.643962444444444,ET. Villa de Maria de Rio Seco,66
105,-63.77957911111111,-29.93201436111111,ET. Villa del Totoral,66
106,-63.01698394444444,-32.13559158333333,ET. Vicuña Makena,66
107,-63.08473575,-30.96597622222222,ET. Villa Allende,66
108,-63.86424811111111,-29.13564086111111,ET. Villa de Soto,66
109,-62.47460138888889,-30.66094238888889,ET. Villa del Rosario,66
110,-62.644131083333335,-31.25427072222222,ET. Villa Maria Norte,66
